Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
September 30 2022,Riverside,CA,Passenger,7.00,0.00,7.00,460.00,467.00,1.50
December 31 2022,Prince William,VA,Passenger,1.00,2.00,3.00,188.00,191.00,1.57
January 31 2020,Dakota,MN,Passenger,0.00,1.00,1.00,32.00,33.00,3.03
June 30 2022,Ferry,WA,Truck,0.00,0.00,0.00,3575.00,3575.00,0.00
July 31 2021,Douglas,CO,Passenger,0.00,1.00,1.00,83.00,84.00,1.19
May 31 2018,Maui,HI,Passenger,1.00,0.00,1.00,59.00,60.00,1.67
November 30 2017,Northampton,PA,Passenger,0.00,1.00,1.00,66.00,67.00,1.49
March 31 2018,Nassau,NY,Passenger,1.00,0.00,1.00,37.00,38.00,2.63
March 31 2020,DeKalb,IN,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
January 31 2019,Columbia,WA,Truck,0.00,0.00,0.00,1529.00,1529.00,0.00
February 28 2017,Maui,HI,Passenger,1.00,0.00,1.00,73.00,74.00,1.35
September 30 2017,Orleans,LA,Passenger,0.00,1.00,1.00,45.00,46.00,2.17
December 31 2018,Ramsey,MN,Passenger,1.00,0.00,1.00,41.00,42.00,2.38
November 30 2020,Manassas,VA,Passenger,0.00,1.00,1.00,5.00,6.00,16.67
February 29 2020,Montgomery,AL,Passenger,0.00,1.00,1.00,38.00,39.00,2.56
August 31 2019,Albemarle,VA,Passenger,1.00,0.00,1.00,23.00,24.00,4.17
May 31 2020,Monroe,IL,Passenger,1.00,0.00,1.00,3.00,4.00,25.00
December 31 2021,San Diego,CA,Passenger,17.00,6.00,23.00,2541.00,2564.00,0.90
June 30 2021,Skamania,WA,Truck,0.00,0.00,0.00,4026.00,4026.00,0.00
January 31 2017,Douglas,WA,Truck,0.00,0.00,0.00,11425.00,11425.00,0.00
October 31 2022,Washington,OR,Passenger,1.00,0.00,1.00,296.00,297.00,0.34
December 31 2022,Sarpy,NE,Passenger,1.00,0.00,1.00,57.00,58.00,1.72
February 29 2020,Owyhee,ID,Passenger,1.00,0.00,1.00,3.00,4.00,25.00
June 30 2022,Clinton,PA,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
May 31 2022,Yakima,WA,Truck,0.00,0.00,0.00,61408.00,61408.00,0.00
October 31 2017,Virginia Beach,VA,Passenger,2.00,1.00,3.00,651.00,654.00,0.46
May 31 2020,Sedgwick,KS,Passenger,1.00,1.00,2.00,96.00,98.00,2.04
September 30 2021,Kittitas,WA,Truck,0.00,0.00,0.00,14783.00,14783.00,0.00
April 30 2021,Asotin,WA,Passenger,19.00,14.00,33.00,12651.00,12684.00,0.26
June 30 2021,San Francisco,CA,Passenger,0.00,1.00,1.00,100.00,101.00,0.99
June 30 2017,Charles,MD,Passenger,0.00,1.00,1.00,89.00,90.00,1.11
June 30 2022,Richmond,NY,Passenger,1.00,0.00,1.00,4.00,5.00,20.00
January 31 2022,Carson City,NV,Passenger,1.00,0.00,1.00,9.00,10.00,10.00
July 31 2020,Santa Clara,CA,Passenger,9.00,2.00,11.00,300.00,311.00,3.54
June 30 2021,Harris,TX,Passenger,1.00,1.00,2.00,223.00,225.00,0.89
November 30 2021,King,WA,Truck,6.00,1.00,7.00,183257.00,183264.00,0.00
April 30 2021,Suffolk,VA,Passenger,1.00,0.00,1.00,125.00,126.00,0.79
February 28 2022,Clallam,WA,Truck,1.00,0.00,1.00,22088.00,22089.00,0.00
June 30 2019,Clay,FL,Passenger,0.00,1.00,1.00,88.00,89.00,1.12
March 31 2019,El Paso,TX,Passenger,2.00,0.00,2.00,495.00,497.00,0.40
July 31 2019,Montgomery,MD,Passenger,1.00,0.00,1.00,283.00,284.00,0.35
August 31 2023,Harford,MD,Passenger,1.00,1.00,2.00,42.00,44.00,4.55
October 31 2020,Franklin,WA,Passenger,73.00,78.00,151.00,61083.00,61234.00,0.25
May 31 2022,Burlington,NJ,Passenger,0.00,2.00,2.00,112.00,114.00,1.75
May 31 2022,Kings,NY,Passenger,1.00,0.00,1.00,62.00,63.00,1.59
June 30 2023,Washtenaw,MI,Passenger,0.00,2.00,2.00,21.00,23.00,8.70
April 30 2020,Manassas,VA,Passenger,0.00,1.00,1.00,5.00,6.00,16.67
December 31 2021,Whatcom,WA,Passenger,1643.00,673.00,2316.00,149887.00,152203.00,1.52
September 30 2023,Whitman,WA,Passenger,177.00,86.00,263.00,21953.00,22216.00,1.18
March 31 2021,Stevens,WA,Passenger,38.00,43.00,81.00,30298.00,30379.00,0.27
April 30 2019,Douglas,WA,Passenger,55.00,34.00,89.00,27968.00,28057.00,0.32
January 31 2018,Benton,WA,Passenger,175.00,179.00,354.00,130615.00,130969.00,0.27
May 31 2020,Kern,CA,Passenger,0.00,1.00,1.00,228.00,229.00,0.44
October 31 2021,Kittitas,WA,Truck,0.00,0.00,0.00,14774.00,14774.00,0.00
December 31 2021,Grant,WA,Truck,0.00,0.00,0.00,27988.00,27988.00,0.00
June 30 2020,Nueces,TX,Passenger,1.00,0.00,1.00,80.00,81.00,1.23
September 30 2023,Kings,CA,Passenger,2.00,2.00,4.00,264.00,268.00,1.49
April 30 2017,Jackson,MO,Passenger,1.00,0.00,1.00,70.00,71.00,1.41
April 30 2023,Polk,OR,Passenger,1.00,1.00,2.00,15.00,17.00,11.76
August 31 2019,Powhatan,VA,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
February 28 2019,Anne Arundel,MD,Passenger,0.00,1.00,1.00,441.00,442.00,0.23
March 31 2022,Pacific,WA,Passenger,61.00,68.00,129.00,15987.00,16116.00,0.80
February 28 2019,San Mateo,CA,Passenger,2.00,1.00,3.00,131.00,134.00,2.24
April 30 2021,Ventura,CA,Passenger,1.00,2.00,3.00,276.00,279.00,1.08
January 31 2021,Klamath,OR,Passenger,1.00,0.00,1.00,33.00,34.00,2.94
June 30 2018,Hamilton,IN,Passenger,1.00,0.00,1.00,46.00,47.00,2.13
March 31 2023,Meade,KY,Passenger,1.00,0.00,1.00,18.00,19.00,5.26
January 31 2024,Placer,CA,Passenger,1.00,0.00,1.00,51.00,52.00,1.92
September 30 2020,Larimer,CO,Passenger,1.00,0.00,1.00,50.00,51.00,1.96
March 31 2017,Clallam,WA,Passenger,77.00,65.00,142.00,48077.00,48219.00,0.29
December 31 2023,Clallam,WA,Truck,29.00,0.00,29.00,21315.00,21344.00,0.14
December 31 2017,Kittitas,WA,Truck,0.00,0.00,0.00,13805.00,13805.00,0.00
November 30 2019,Fairbanks North Star,AK,Passenger,0.00,1.00,1.00,97.00,98.00,1.02
July 31 2022,Clark,WA,Truck,9.00,0.00,9.00,82497.00,82506.00,0.01
December 31 2018,Bexar,TX,Passenger,3.00,4.00,7.00,717.00,724.00,0.97
April 30 2018,Manatee,FL,Passenger,1.00,0.00,1.00,38.00,39.00,2.56
July 31 2023,Washtenaw,MI,Passenger,0.00,2.00,2.00,20.00,22.00,9.09
May 31 2023,Williamson,TX,Passenger,0.00,1.00,1.00,53.00,54.00,1.85
May 31 2021,Flathead,MT,Passenger,1.00,0.00,1.00,51.00,52.00,1.92
July 31 2018,Lumpkin,GA,Passenger,1.00,0.00,1.00,7.00,8.00,12.50
August 31 2021,Stevens,WA,Passenger,48.00,44.00,92.00,30264.00,30356.00,0.30
June 30 2018,Clark,WA,Truck,0.00,0.00,0.00,79115.00,79115.00,0.00
June 30 2023,Mason,WA,Truck,11.00,0.00,11.00,20726.00,20737.00,0.05
December 31 2019,King,WA,Truck,6.00,1.00,7.00,182187.00,182194.00,0.00
August 31 2022,Providence,RI,Passenger,1.00,0.00,1.00,21.00,22.00,4.55
July 31 2017,Hardin,KY,Passenger,0.00,1.00,1.00,116.00,117.00,0.85
November 30 2021,Charleston,SC,Passenger,2.00,1.00,3.00,85.00,88.00,3.41
November 30 2021,Santa Cruz,CA,Passenger,1.00,0.00,1.00,27.00,28.00,3.57
April 30 2021,Hawaii,HI,Passenger,1.00,0.00,1.00,54.00,55.00,1.82
June 30 2020,Hamilton,IN,Passenger,1.00,0.00,1.00,42.00,43.00,2.33
September 30 2022,Kootenai,ID,Truck,1.00,0.00,1.00,35.00,36.00,2.78
May 31 2021,Sumter,FL,Passenger,0.00,1.00,1.00,10.00,11.00,9.09
October 31 2020,Dallas,IA,Passenger,0.00,1.00,1.00,10.00,11.00,9.09
April 30 2018,Lake,CA,Passenger,0.00,1.00,1.00,8.00,9.00,11.11
May 31 2017,DeKalb,IN,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
October 31 2020,Yakima,WA,Passenger,158.00,122.00,280.00,166853.00,167133.00,0.17
October 31 2019,Spokane,WA,Passenger,615.00,464.00,1079.00,314266.00,315345.00,0.34
December 31 2022,Los Angeles,CA,Passenger,4.00,6.00,10.00,747.00,757.00,1.32
November 30 2020,Maricopa,AZ,Passenger,5.00,9.00,14.00,1424.00,1438.00,0.97
November 30 2021,Burlington,NJ,Passenger,0.00,1.00,1.00,121.00,122.00,0.82
October 31 2022,Solano,CA,Passenger,2.00,0.00,2.00,157.00,159.00,1.26
October 31 2017,Gwinnett,GA,Passenger,0.00,1.00,1.00,88.00,89.00,1.12
October 31 2021,Montgomery,PA,Passenger,2.00,0.00,2.00,24.00,26.00,7.69
February 28 2017,Madison,ID,Passenger,1.00,0.00,1.00,44.00,45.00,2.22
July 31 2022,Columbia,OR,Passenger,1.00,0.00,1.00,17.00,18.00,5.56
August 31 2021,Snohomish,WA,Truck,1.00,0.00,1.00,125976.00,125977.00,0.00
September 30 2017,Lewis,WA,Passenger,53.00,40.00,93.00,56024.00,56117.00,0.17
June 30 2023,Garfield,WA,Passenger,1.00,3.00,4.00,1304.00,1308.00,0.31
July 31 2019,Walla Walla,WA,Passenger,52.00,61.00,113.00,36204.00,36317.00,0.31
August 31 2020,Skamania,WA,Passenger,31.00,21.00,52.00,8370.00,8422.00,0.62
May 31 2018,St. Clair,IL,Passenger,0.00,1.00,1.00,156.00,157.00,0.64
December 31 2019,Bexar,TX,Passenger,0.00,5.00,5.00,669.00,674.00,0.74
June 30 2020,,,Passenger,6.00,1.00,7.00,387.00,394.00,1.78
March 31 2022,Sarpy,NE,Passenger,1.00,0.00,1.00,63.00,64.00,1.56
September 30 2022,Allen,IN,Passenger,1.00,0.00,1.00,18.00,19.00,5.26
January 31 2023,Bryan,GA,Passenger,0.00,1.00,1.00,33.00,34.00,2.94
June 30 2018,Adams,WA,Truck,0.00,0.00,0.00,5163.00,5163.00,0.00
January 31 2019,Clark,WA,Truck,0.00,0.00,0.00,79956.00,79956.00,0.00
May 31 2017,Jefferson,WA,Passenger,103.00,59.00,162.00,23819.00,23981.00,0.68
April 30 2023,Kittitas,WA,Truck,8.00,0.00,8.00,14540.00,14548.00,0.05
September 30 2017,Alameda,CA,Passenger,0.00,1.00,1.00,356.00,357.00,0.28
March 31 2022,Skagit,WA,Passenger,730.00,326.00,1056.00,90428.00,91484.00,1.15
June 30 2022,Escambia,FL,Passenger,0.00,1.00,1.00,144.00,145.00,0.69
September 30 2020,Walla Walla,WA,Truck,0.00,0.00,0.00,13788.00,13788.00,0.00
May 31 2019,Cook,IL,Passenger,1.00,0.00,1.00,248.00,249.00,0.40
December 31 2017,Montgomery,PA,Passenger,1.00,0.00,1.00,39.00,40.00,2.50
January 31 2021,Columbia,OR,Passenger,1.00,0.00,1.00,24.00,25.00,4.00
July 31 2020,Asotin,WA,Passenger,16.00,12.00,28.00,12375.00,12403.00,0.23
November 30 2017,Columbia,WA,Truck,0.00,0.00,0.00,1538.00,1538.00,0.00
September 30 2020,Garfield,WA,Truck,0.00,0.00,0.00,985.00,985.00,0.00
January 31 2017,Pima,AZ,Passenger,0.00,2.00,2.00,477.00,479.00,0.42
June 30 2020,Williams,ND,Passenger,0.00,1.00,1.00,11.00,12.00,8.33
February 28 2023,Lee,AL,Passenger,1.00,0.00,1.00,14.00,15.00,6.67
September 30 2021,Meade,KY,Passenger,1.00,0.00,1.00,25.00,26.00,3.85
April 30 2023,Dorchester,SC,Passenger,1.00,0.00,1.00,51.00,52.00,1.92
May 31 2022,Leavenworth,KS,Passenger,0.00,1.00,1.00,104.00,105.00,0.95
October 31 2022,Fairfax,VA,Passenger,7.00,3.00,10.00,617.00,627.00,1.59
March 31 2023,Norfolk,VA,Passenger,3.00,2.00,5.00,280.00,285.00,1.75
September 30 2017,Portsmouth,VA,Passenger,0.00,1.00,1.00,64.00,65.00,1.54
December 31 2022,San Juan,WA,Passenger,559.00,170.00,729.00,13892.00,14621.00,4.99
March 31 2023,Prince William,VA,Passenger,1.00,2.00,3.00,174.00,177.00,1.69
November 30 2022,Portsmouth,VA,Passenger,0.00,1.00,1.00,82.00,83.00,1.20
January 31 2022,Spartanburg,SC,Passenger,0.00,1.00,1.00,48.00,49.00,2.04
December 31 2022,Anne Arundel,MD,Passenger,3.00,3.00,6.00,311.00,317.00,1.89
October 31 2019,Douglas,NE,Passenger,0.00,1.00,1.00,61.00,62.00,1.61
November 30 2018,Brevard,FL,Passenger,0.00,1.00,1.00,97.00,98.00,1.02
July 31 2022,Las Animas,CO,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
November 30 2022,Okanogan,WA,Truck,2.00,0.00,2.00,16455.00,16457.00,0.01
June 30 2020,Columbia,WA,Truck,0.00,0.00,0.00,1531.00,1531.00,0.00
January 31 2022,Calvert,MD,Passenger,0.00,2.00,2.00,81.00,83.00,2.41
March 31 2022,Multnomah,OR,Passenger,1.00,4.00,5.00,601.00,606.00,0.83
June 30 2021,Marion,IA,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
November 30 2020,Washoe,NV,Passenger,1.00,0.00,1.00,108.00,109.00,0.92
November 30 2019,Suffolk,MA,Passenger,0.00,1.00,1.00,37.00,38.00,2.63
July 31 2021,Carroll,NH,Passenger,0.00,1.00,1.00,5.00,6.00,16.67
April 30 2023,Middlesex,NJ,Passenger,1.00,0.00,1.00,18.00,19.00,5.26
December 31 2021,Island,WA,Truck,0.00,0.00,0.00,21488.00,21488.00,0.00
April 30 2019,Kootenai,ID,Passenger,1.00,1.00,2.00,216.00,218.00,0.92
May 31 2019,Grant,WA,Passenger,39.00,59.00,98.00,64554.00,64652.00,0.15
August 31 2022,Berkeley,SC,Passenger,0.00,1.00,1.00,117.00,118.00,0.85
October 31 2019,Lee,FL,Passenger,1.00,0.00,1.00,53.00,54.00,1.85
July 31 2021,Larimer,CO,Passenger,1.00,0.00,1.00,49.00,50.00,2.00
February 28 2019,San Francisco,CA,Passenger,2.00,1.00,3.00,119.00,122.00,2.46
September 30 2022,Charleston,SC,Passenger,2.00,2.00,4.00,65.00,69.00,5.80
July 31 2020,Ulster,NY,Passenger,1.00,0.00,1.00,12.00,13.00,7.69
October 31 2019,Osceola,FL,Passenger,1.00,0.00,1.00,41.00,42.00,2.38
March 31 2023,Hamilton,OH,Truck,1.00,0.00,1.00,3.00,4.00,25.00
June 30 2021,Randolph,NC,Passenger,1.00,0.00,1.00,8.00,9.00,11.11
October 31 2021,Snohomish,WA,Passenger,6649.00,2195.00,8844.00,538559.00,547403.00,1.62
October 31 2022,Jefferson,WA,Passenger,465.00,225.00,690.00,24396.00,25086.00,2.75
June 30 2022,Douglas,WA,Truck,0.00,0.00,0.00,12783.00,12783.00,0.00
June 30 2022,Duval,FL,Passenger,0.00,2.00,2.00,290.00,292.00,0.68
October 31 2023,Lane,OR,Passenger,0.00,2.00,2.00,58.00,60.00,3.33
July 31 2017,Multnomah,OR,Passenger,1.00,3.00,4.00,953.00,957.00,0.42
August 31 2018,San Mateo,CA,Passenger,1.00,1.00,2.00,137.00,139.00,1.44
June 30 2020,Kitsap,WA,Truck,0.00,0.00,0.00,54049.00,54049.00,0.00
April 30 2021,Suffolk,MA,Passenger,0.00,2.00,2.00,34.00,36.00,5.56
February 28 2023,Sumter,SC,Passenger,0.00,1.00,1.00,37.00,38.00,2.63
June 30 2021,Ulster,NY,Passenger,1.00,0.00,1.00,13.00,14.00,7.14
June 30 2019,Putnam,TN,Passenger,0.00,1.00,1.00,3.00,4.00,25.00
August 31 2023,Hamilton,OH,Truck,1.00,0.00,1.00,3.00,4.00,25.00
January 31 2022,Randolph,NC,Passenger,1.00,0.00,1.00,6.00,7.00,14.29
April 30 2023,Lane,OR,Passenger,0.00,2.00,2.00,82.00,84.00,2.38
November 30 2017,Riverside,CA,Passenger,1.00,2.00,3.00,744.00,747.00,0.40
May 31 2019,Chelan,WA,Truck,0.00,0.00,0.00,22241.00,22241.00,0.00
August 31 2020,Franklin,WA,Truck,0.00,0.00,0.00,20182.00,20182.00,0.00
March 31 2020,Denver,CO,Passenger,1.00,0.00,1.00,124.00,125.00,0.80
May 31 2023,Yolo,CA,Passenger,1.00,0.00,1.00,22.00,23.00,4.35
April 30 2023,Fairbanks North Star,AK,Passenger,0.00,1.00,1.00,52.00,53.00,1.89
April 30 2020,Juneau,AK,Passenger,0.00,2.00,2.00,31.00,33.00,6.06
July 31 2020,Grays Harbor,WA,Passenger,109.00,112.00,221.00,48275.00,48496.00,0.46
April 30 2017,Multnomah,OR,Passenger,0.00,3.00,3.00,1068.00,1071.00,0.28
August 31 2018,Portsmouth,VA,Passenger,0.00,1.00,1.00,76.00,77.00,1.30
February 29 2024,Kitsap,WA,Truck,119.00,0.00,119.00,49928.00,50047.00,0.24
December 31 2018,Grays Harbor,WA,Truck,0.00,0.00,0.00,20354.00,20354.00,0.00
July 31 2017,San Juan,WA,Truck,0.00,0.00,0.00,5545.00,5545.00,0.00
January 31 2022,Benton,WA,Passenger,652.00,453.00,1105.00,135875.00,136980.00,0.81
April 30 2019,Palm Beach,FL,Passenger,0.00,2.00,2.00,90.00,92.00,2.17
June 30 2022,San Luis Obispo,CA,Passenger,1.00,0.00,1.00,60.00,61.00,1.64
October 31 2023,Polk,OR,Passenger,1.00,1.00,2.00,12.00,14.00,14.29
February 28 2023,Maui,HI,Passenger,1.00,0.00,1.00,24.00,25.00,4.00
February 28 2023,Harford,MD,Passenger,1.00,1.00,2.00,42.00,44.00,4.55
October 31 2019,Clallam,WA,Truck,1.00,0.00,1.00,21840.00,21841.00,0.00
November 30 2017,Thurston,WA,Truck,0.00,0.00,0.00,53690.00,53690.00,0.00
December 31 2020,Charles,MD,Passenger,1.00,1.00,2.00,74.00,76.00,2.63
April 30 2022,York,VA,Passenger,1.00,0.00,1.00,91.00,92.00,1.09
November 30 2023,Newport News,VA,Passenger,1.00,0.00,1.00,95.00,96.00,1.04
July 31 2019,Middlesex,MA,Passenger,1.00,1.00,2.00,115.00,117.00,1.71
December 31 2022,Maui,HI,Passenger,1.00,0.00,1.00,27.00,28.00,3.57
August 31 2019,Lee,FL,Passenger,1.00,0.00,1.00,51.00,52.00,1.92
May 31 2023,Marion,IA,Passenger,1.00,0.00,1.00,0.00,1.00,100.00
January 31 2017,Skamania,WA,Passenger,7.00,7.00,14.00,8547.00,8561.00,0.16
May 31 2018,Riverside,CA,Passenger,2.00,2.00,4.00,702.00,706.00,0.57
May 31 2021,Asotin,WA,Passenger,19.00,14.00,33.00,12692.00,12725.00,0.26
August 31 2018,Riverside,CA,Passenger,2.00,2.00,4.00,691.00,695.00,0.58
March 31 2019,Pacific,WA,Passenger,23.00,26.00,49.00,15845.00,15894.00,0.31
July 31 2017,Lewis,WA,Truck,0.00,0.00,0.00,24920.00,24920.00,0.00
May 31 2023,Onslow,NC,Passenger,0.00,1.00,1.00,147.00,148.00,0.68
April 30 2023,Allen,IN,Passenger,1.00,0.00,1.00,15.00,16.00,6.25
October 31 2022,Parker,TX,Passenger,0.00,1.00,1.00,20.00,21.00,4.76
April 30 2020,Putnam,TN,Passenger,0.00,1.00,1.00,3.00,4.00,25.00
September 30 2022,Ray,MO,Passenger,0.00,1.00,1.00,1.00,2.00,50.00
March 31 2022,DeKalb,GA,Passenger,1.00,0.00,1.00,56.00,57.00,1.75
November 30 2020,Asotin,WA,Passenger,17.00,14.00,31.00,12404.00,12435.00,0.25
April 30 2021,Sedgwick,KS,Passenger,1.00,1.00,2.00,91.00,93.00,2.15
January 31 2020,Douglas,WA,Passenger,69.00,39.00,108.00,28362.00,28470.00,0.38
January 31 2022,Thurston,WA,Truck,3.00,0.00,3.00,55866.00,55869.00,0.01
July 31 2022,Kitsap,WA,Truck,13.00,0.00,13.00,53331.00,53344.00,0.02
October 31 2017,Los Angeles,CA,Passenger,4.00,2.00,6.00,1246.00,1252.00,0.48
July 31 2023,Alexandria,VA,Passenger,3.00,1.00,4.00,85.00,89.00,4.49
August 31 2019,Jefferson,NY,Passenger,0.00,2.00,2.00,219.00,221.00,0.90
December 31 2021,Platte,MO,Passenger,1.00,0.00,1.00,20.00,21.00,4.76
December 31 2019,Tulsa,OK,Passenger,1.00,1.00,2.00,52.00,54.00,3.70
February 28 2018,Marin,CA,Passenger,1.00,0.00,1.00,55.00,56.00,1.79
October 31 2023,Lincoln,OR,Passenger,0.00,1.00,1.00,13.00,14.00,7.14
August 31 2019,Okanogan,WA,Truck,0.00,0.00,0.00,16475.00,16475.00,0.00
April 30 2017,Lewis,WA,Truck,0.00,0.00,0.00,24804.00,24804.00,0.00
September 30 2020,Kittitas,WA,Passenger,113.00,48.00,161.00,29697.00,29858.00,0.54
November 30 2021,Harnett,NC,Passenger,1.00,1.00,2.00,170.00,172.00,1.16
February 29 2020,Tarrant,TX,Passenger,3.00,0.00,3.00,191.00,194.00,1.55
June 30 2018,Dallas,TX,Passenger,0.00,1.00,1.00,197.00,198.00,0.51
November 30 2020,Jefferson,NY,Passenger,0.00,1.00,1.00,211.00,212.00,0.47
December 31 2021,Boone,MO,Passenger,0.00,1.00,1.00,11.00,12.00,8.33
February 28 2023,Franklin,WA,Passenger,275.00,128.00,403.00,61826.00,62229.00,0.65
March 31 2019,Pacific,WA,Truck,0.00,0.00,0.00,7651.00,7651.00,0.00
July 31 2017,San Juan,WA,Passenger,112.00,39.00,151.00,13560.00,13711.00,1.10
October 31 2019,Lewis,WA,Truck,0.00,0.00,0.00,26042.00,26042.00,0.00
September 30 2021,Monterey,CA,Passenger,0.00,3.00,3.00,153.00,156.00,1.92
February 28 2017,Yakima,WA,Truck,0.00,0.00,0.00,57222.00,57222.00,0.00
March 31 2023,Franklin,WA,Passenger,285.00,131.00,416.00,61876.00,62292.00,0.67
October 31 2018,Mecklenburg,NC,Passenger,1.00,0.00,1.00,81.00,82.00,1.22
March 31 2019,Hardin,KY,Passenger,0.00,1.00,1.00,97.00,98.00,1.02
April 30 2022,Howard,MD,Passenger,0.00,2.00,2.00,66.00,68.00,2.94
January 31 2024,Montgomery,OH,Passenger,0.00,1.00,1.00,35.00,36.00,2.78
February 28 2022,Hamilton,IN,Passenger,2.00,0.00,2.00,25.00,27.00,7.41
July 31 2022,Oldham,KY,Passenger,0.00,1.00,1.00,4.00,5.00,20.00
October 31 2020,Fairbanks North Star,AK,Passenger,0.00,1.00,1.00,95.00,96.00,1.04
September 30 2021,Benton,WA,Passenger,579.00,414.00,993.00,136200.00,137193.00,0.72
January 31 2017,Dallas,TX,Passenger,1.00,0.00,1.00,232.00,233.00,0.43
August 31 2023,Snohomish,WA,Truck,198.00,0.00,198.00,121099.00,121297.00,0.16
December 31 2020,Utah,UT,Passenger,0.00,1.00,1.00,131.00,132.00,0.76
December 31 2018,Volusia,FL,Passenger,0.00,1.00,1.00,40.00,41.00,2.44
January 31 2024,Yuba,CA,Passenger,1.00,0.00,1.00,43.00,44.00,2.27
May 31 2021,Ulster,NY,Passenger,1.00,0.00,1.00,13.00,14.00,7.14
February 28 2017,Sumter,FL,Passenger,0.00,1.00,1.00,10.00,11.00,9.09
December 31 2022,Orange,NC,Passenger,0.00,1.00,1.00,6.00,7.00,14.29
October 31 2020,Jones,GA,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
December 31 2022,Contra Costa,CA,Passenger,0.00,3.00,3.00,211.00,214.00,1.40
June 30 2020,Clallam,WA,Truck,1.00,0.00,1.00,21754.00,21755.00,0.00
February 28 2019,Goochland,VA,Passenger,1.00,1.00,2.00,247.00,249.00,0.80
October 31 2018,Portsmouth,VA,Passenger,0.00,1.00,1.00,78.00,79.00,1.27
August 31 2022,Los Angeles,CA,Passenger,5.00,7.00,12.00,793.00,805.00,1.49
December 31 2019,DuPage,IL,Passenger,3.00,0.00,3.00,66.00,69.00,4.35
November 30 2022,Broward,FL,Passenger,1.00,0.00,1.00,75.00,76.00,1.32
February 28 2019,Hennepin,MN,Passenger,2.00,0.00,2.00,103.00,105.00,1.90
April 30 2019,Guadalupe,TX,Passenger,1.00,0.00,1.00,81.00,82.00,1.22
October 31 2022,Marin,CA,Passenger,1.00,1.00,2.00,30.00,32.00,6.25
November 30 2017,Hamilton,TN,Passenger,1.00,0.00,1.00,21.00,22.00,4.55
February 29 2024,Rockdale,GA,Passenger,1.00,0.00,1.00,5.00,6.00,16.67
March 31 2023,Contra Costa,CA,Passenger,0.00,3.00,3.00,201.00,204.00,1.47
January 31 2023,Klickitat,WA,Passenger,127.00,53.00,180.00,15154.00,15334.00,1.17
December 31 2022,Franklin,WA,Passenger,252.00,120.00,372.00,61694.00,62066.00,0.60
September 30 2023,Garfield,WA,Truck,0.00,0.00,0.00,973.00,973.00,0.00
March 31 2019,Grays Harbor,WA,Truck,0.00,0.00,0.00,20375.00,20375.00,0.00
July 31 2018,Portsmouth,VA,Passenger,0.00,1.00,1.00,73.00,74.00,1.35
February 28 2023,Kern,CA,Passenger,1.00,1.00,2.00,200.00,202.00,0.99
June 30 2020,Saginaw,MI,Passenger,1.00,0.00,1.00,12.00,13.00,7.69
June 30 2017,Sedgwick,KS,Passenger,0.00,1.00,1.00,112.00,113.00,0.88
September 30 2019,Sangamon,IL,Passenger,1.00,0.00,1.00,6.00,7.00,14.29
June 30 2020,Hillsborough,FL,Passenger,0.00,1.00,1.00,182.00,183.00,0.55
November 30 2020,Portsmouth,VA,Passenger,0.00,1.00,1.00,80.00,81.00,1.23
August 31 2020,Pend Oreille,WA,Passenger,8.00,5.00,13.00,9227.00,9240.00,0.14
December 31 2022,Kern,CA,Passenger,1.00,1.00,2.00,203.00,205.00,0.98
October 31 2018,Dakota,MN,Passenger,0.00,2.00,2.00,33.00,35.00,5.71
September 30 2022,Bell,TX,Passenger,1.00,0.00,1.00,319.00,320.00,0.31
August 31 2021,Contra Costa,CA,Passenger,2.00,4.00,6.00,258.00,264.00,2.27
November 30 2019,Stafford,VA,Passenger,1.00,1.00,2.00,99.00,101.00,1.98
May 31 2023,Palm Beach,FL,Passenger,1.00,1.00,2.00,47.00,49.00,4.08
May 31 2022,St. Clair,IL,Passenger,1.00,0.00,1.00,122.00,123.00,0.81
April 30 2018,DeKalb,GA,Passenger,1.00,0.00,1.00,85.00,86.00,1.16
September 30 2022,Meade,KY,Passenger,1.00,0.00,1.00,21.00,22.00,4.55
May 31 2022,Hennepin,MN,Passenger,2.00,0.00,2.00,58.00,60.00,3.33
November 30 2023,Allen,IN,Passenger,1.00,0.00,1.00,9.00,10.00,10.00
February 28 2023,Orange,NC,Passenger,0.00,1.00,1.00,6.00,7.00,14.29
August 31 2017,Grays Harbor,WA,Truck,0.00,0.00,0.00,19932.00,19932.00,0.00
January 31 2017,Garfield,WA,Passenger,0.00,0.00,0.00,1285.00,1285.00,0.00
February 28 2022,Solano,CA,Passenger,1.00,0.00,1.00,174.00,175.00,0.57
January 31 2019,Ada,ID,Passenger,0.00,2.00,2.00,322.00,324.00,0.62
April 30 2022,Gwinnett,GA,Passenger,1.00,0.00,1.00,53.00,54.00,1.85
September 30 2017,DeKalb,IN,Passenger,1.00,0.00,1.00,1.00,2.00,50.00
